pair,source,target,ransac_fitness,ransac_rmse,initial_fitness_icp,initial_rmse_icp,final_fitness,final_rmse
43-44,pointcloud_0176.pcd,pointcloud_0172.pcd,0.9470866790199711,0.020429262164556053,0.9470866790199711,0.020429262164556053,0.9485278978793494,0.019488870307252673
44-45,pointcloud_0180.pcd,pointcloud_0176.pcd,0.7818499127399651,0.03292099745856159,0.7818499127399651,0.03292099745856159,0.9402525408068987,0.019874526597323514
45-46,pointcloud_0184.pcd,pointcloud_0180.pcd,0.9365390568568775,0.024283392579291043,0.9365390568568775,0.024283392579291043,0.9504695077907337,0.020800539755322464
46-47,pointcloud_0188.pcd,pointcloud_0184.pcd,0.9496343598722834,0.02226697092946536,0.9496343598722834,0.022266970929465356,0.9543722319497373,0.01937839958667763
47-48,pointcloud_0192.pcd,pointcloud_0188.pcd,0.9399427051360753,0.019981748212826948,0.9399427051360753,0.019981748212826948,0.9390218948229998,0.01900578719213476
48-49,pointcloud_0196.pcd,pointcloud_0192.pcd,0.9490886235072281,0.023852193373568198,0.9490886235072281,0.0238521933735682,0.9600879949717159,0.01825790660214497
49-50,pointcloud_0200.pcd,pointcloud_0196.pcd,0.9295977011494253,0.02406460090952307,0.9295977011494253,0.024064600909523066,0.9409893267651889,0.019395346490675276
50-51,pointcloud_0204.pcd,pointcloud_0200.pcd,0.943483157571414,0.021525369912410944,0.943483157571414,0.021525369912410944,0.9486024367769018,0.01884396650791179
51-52,pointcloud_0208.pcd,pointcloud_0204.pcd,0.9388768228358672,0.022920415415592872,0.9388768228358672,0.022920415415592872,0.9467369945185645,0.018778435608555768
52-53,pointcloud_0212.pcd,pointcloud_0208.pcd,0.9482438016528926,0.02238220799074748,0.9482438016528926,0.02238220799074748,0.9565082644628099,0.018280584595030448
53-54,pointcloud_0216.pcd,pointcloud_0212.pcd,0.9447360296387775,0.019388523653023047,0.9447360296387775,0.019388523653023047,0.9471030153339508,0.018125651705561067
54-55,pointcloud_0220.pcd,pointcloud_0216.pcd,0.9508366040074365,0.01958056731977796,0.9508366040074365,0.01958056731977796,0.9518694484610618,0.018286113271794555
55-56,pointcloud_0224.pcd,pointcloud_0220.pcd,0.9340761374187558,0.0237766957209214,0.9340761374187558,0.023776695720921396,0.9473847106159083,0.018655374983828507
56-57,pointcloud_0228.pcd,pointcloud_0224.pcd,0.9576123681785604,0.02007487436288376,0.9576123681785604,0.02007487436288376,0.9583290672673288,0.017969666580069404
57-58,pointcloud_0232.pcd,pointcloud_0228.pcd,0.9328128210396548,0.021046506623032014,0.9328128210396548,0.021046506623032014,0.9391822477912471,0.019468054284903256
58-59,pointcloud_0236.pcd,pointcloud_0232.pcd,0.9495918367346938,0.020057844019923006,0.9495918367346938,0.02005784401992301,0.9487755102040817,0.018953876851950557
59-60,pointcloud_0240.pcd,pointcloud_0236.pcd,0.9506585612968592,0.021370572793211456,0.9506585612968592,0.021370572793211452,0.9533941236068896,0.019525073122545037
60-61,pointcloud_0244.pcd,pointcloud_0240.pcd,0.9561278501628665,0.02135459848220104,0.9561278501628665,0.021354598482201042,0.9598941368078175,0.01885829444749781
61-62,pointcloud_0248.pcd,pointcloud_0244.pcd,0.9532110091743119,0.019064225318174442,0.9532110091743119,0.019064225318174442,0.9543323139653415,0.018685737583952956
62-63,pointcloud_0252.pcd,pointcloud_0248.pcd,0.9538679914833215,0.01995584029270273,0.9538679914833215,0.01995584029270273,0.9550846598398053,0.01877472925901813
63-64,pointcloud_0256.pcd,pointcloud_0252.pcd,0.8494043376438245,0.03085155859126307,0.8494043376438245,0.03085155859126307,0.9521433662559821,0.019507317517474858
64-65,pointcloud_0260.pcd,pointcloud_0256.pcd,0.9435475682810438,0.02273151215890256,0.9435475682810438,0.02273151215890256,0.9614174027820084,0.019404764239337142
65-66,pointcloud_0264.pcd,pointcloud_0260.pcd,0.9366377107818089,0.02050138311327802,0.9366377107818089,0.02050138311327802,0.943587123147675,0.019243120326231038
66-67,pointcloud_0268.pcd,pointcloud_0264.pcd,0.9459376596831885,0.02145702126866542,0.9459376596831885,0.02145702126866542,0.9468574348492591,0.018984535902924902
67-68,pointcloud_0272.pcd,pointcloud_0268.pcd,0.9500825082508251,0.021164759439792413,0.9500825082508251,0.021164759439792413,0.95503300330033,0.018980069911031495
68-69,pointcloud_0276.pcd,pointcloud_0272.pcd,0.9533902664883218,0.020520691348634358,0.9533902664883218,0.020520691348634358,0.9569914600267517,0.018946767348251348
69-70,pointcloud_0280.pcd,pointcloud_0276.pcd,0.9490712390283731,0.019685349577014764,0.9490712390283731,0.019685349577014764,0.9505001020616453,0.0190419646028662
70-71,pointcloud_0284.pcd,pointcloud_0280.pcd,0.943089430894309,0.019821723033036077,0.943089430894309,0.01982172303303608,0.9436991869918699,0.019296042013824583
71-72,pointcloud_0288.pcd,pointcloud_0284.pcd,0.9449522440176645,0.02028665794494643,0.9449522440176645,0.02028665794494643,0.9525521207764198,0.019413377707332344
72-73,pointcloud_0292.pcd,pointcloud_0288.pcd,0.9464303900600876,0.02226622730560288,0.9464303900600876,0.02226622730560288,0.9583460637539464,0.018860246014989552
73-74,pointcloud_0296.pcd,pointcloud_0292.pcd,0.9422208538587848,0.027873246589257626,0.9422208538587848,0.027873246589257626,0.9550492610837439,0.01860375653556725
74-75,pointcloud_0300.pcd,pointcloud_0296.pcd,0.9455364455364456,0.021490278118489883,0.9455364455364456,0.02149027811848988,0.9462530712530712,0.018491154861014603
75-76,pointcloud_0304.pcd,pointcloud_0300.pcd,0.9499036608863198,0.020858091563407045,0.9499036608863198,0.02085809156340705,0.9488895649528445,0.019093478168162852
76-77,pointcloud_0308.pcd,pointcloud_0304.pcd,0.9583036713108919,0.0196581702757692,0.9583036713108919,0.0196581702757692,0.96003254347605,0.01911756912726445
77-78,pointcloud_0312.pcd,pointcloud_0308.pcd,0.5161978267492637,0.02797049527198835,0.5161978267492637,0.027970495271988347,0.9475982532751092,0.019130785298771436
78-79,pointcloud_0316.pcd,pointcloud_0312.pcd,0.9411345350850392,0.021278039290053563,0.9411345350850392,0.021278039290053563,0.9494856910072309,0.018366219898741543
79-80,pointcloud_0320.pcd,pointcloud_0316.pcd,0.8682640888523242,0.03300874252961684,0.8682640888523242,0.03300874252961683,0.9572192513368984,0.018475773704916557
80-81,pointcloud_0324.pcd,pointcloud_0320.pcd,0.9477044694435999,0.02277370672357446,0.9477044694435999,0.02277370672357446,0.9547988243640417,0.01914601113955033
81-82,pointcloud_0328.pcd,pointcloud_0324.pcd,0.9531854264197028,0.022800885444724504,0.9531854264197028,0.022800885444724504,0.9560350091593731,0.018776423319365063
82-83,pointcloud_0332.pcd,pointcloud_0328.pcd,0.8925561084594292,0.0283342191154084,0.8925561084594292,0.0283342191154084,0.946176500456992,0.01916523416598193
83-84,pointcloud_0336.pcd,pointcloud_0332.pcd,0.9437652811735942,0.021659985455077156,0.9437652811735942,0.021659985455077156,0.9484515077424613,0.01946343923273966
84-85,pointcloud_0340.pcd,pointcloud_0336.pcd,0.9456389452332657,0.0212275657403432,0.9456389452332657,0.0212275657403432,0.9575050709939148,0.018515488901326045
85-86,pointcloud_0344.pcd,pointcloud_0340.pcd,0.5458991339786041,0.02820681284443082,0.5458991339786041,0.02820681284443082,0.9557819663779928,0.018454133981419592
86-87,pointcloud_0348.pcd,pointcloud_0344.pcd,0.902955714718047,0.02796716305578904,0.902955714718047,0.02796716305578904,0.9408857056390598,0.01905964437925306
87-88,pointcloud_0352.pcd,pointcloud_0348.pcd,0.946645109135004,0.019680882167870926,0.946645109135004,0.019680882167870926,0.9492724333063864,0.01885734622990485
88-89,pointcloud_0356.pcd,pointcloud_0352.pcd,0.9566849259484682,0.021416006206952685,0.9566849259484682,0.021416006206952685,0.9563806045851085,0.019353578781128623
89-90,pointcloud_0360.pcd,pointcloud_0356.pcd,0.9512970368091869,0.021710640050319027,0.9512970368091869,0.021710640050319023,0.9558084691889674,0.01919464171691282
90-91,pointcloud_0364.pcd,pointcloud_0360.pcd,0.9400428265524625,0.020006323949746642,0.9400428265524625,0.020006323949746642,0.9391251147139799,0.01869127591914974
91-92,pointcloud_0368.pcd,pointcloud_0364.pcd,0.9431067763893122,0.02269918093379142,0.9431067763893122,0.022699180933791422,0.9498120491720005,0.019592588479231347
92-93,pointcloud_0372.pcd,pointcloud_0368.pcd,0.95775950668037,0.020203504443124777,0.95775950668037,0.020203504443124777,0.9585817060637205,0.018919179380076548
93-94,pointcloud_0376.pcd,pointcloud_0372.pcd,0.9529281322447334,0.02019570075006752,0.9529281322447334,0.02019570075006752,0.9561536135470214,0.01966283480569858
94-95,pointcloud_0380.pcd,pointcloud_0376.pcd,0.5511684125705076,0.02782165533004383,0.5511684125705076,0.027821655330043826,0.9378525382755842,0.019770306880256036
95-96,pointcloud_0384.pcd,pointcloud_0380.pcd,0.5571283095723014,0.02825455057356404,0.5571283095723014,0.028254550573564043,0.9518329938900204,0.01927452466892439
96-97,pointcloud_0388.pcd,pointcloud_0384.pcd,0.9421453990849009,0.0234716169895259,0.9421453990849009,0.0234716169895259,0.951906456532791,0.01926091719300495
97-98,pointcloud_0392.pcd,pointcloud_0388.pcd,0.9443538524256013,0.024986508045263423,0.9443538524256013,0.024986508045263423,0.9581125152874032,0.01805436555606482
98-99,pointcloud_0396.pcd,pointcloud_0392.pcd,0.9381130549094954,0.019701848684839103,0.9381130549094954,0.019701848684839103,0.9378096875316008,0.018777422179844017
