pair,source,target,ransac_fitness,ransac_rmse,initial_fitness_icp,initial_rmse_icp,final_fitness,final_rmse
77-78,pointcloud_0312.pcd,pointcloud_0308.pcd,0.9453640702752107,0.02059346969274998,0.9453640702752107,0.02059346969274998,0.9475982532751092,0.01913141747080606
78-79,pointcloud_0316.pcd,pointcloud_0312.pcd,0.9473469803442306,0.019299821336689747,0.9473469803442306,0.019299821336689747,0.9494856910072309,0.01836649505622768
79-80,pointcloud_0320.pcd,pointcloud_0316.pcd,0.9571164129987659,0.018577661755935514,0.9571164129987659,0.018577661755935514,0.9572192513368984,0.018475800135993422
80-81,pointcloud_0324.pcd,pointcloud_0320.pcd,0.9540893888719976,0.019776021106817934,0.9540893888719976,0.019776021106817934,0.9547988243640417,0.019144929415027902
81-82,pointcloud_0328.pcd,pointcloud_0324.pcd,0.9569509464685528,0.01924447572099796,0.9569509464685528,0.01924447572099796,0.9560350091593731,0.018776127052686935
82-83,pointcloud_0332.pcd,pointcloud_0328.pcd,0.9463796080024373,0.019518572601728946,0.9463796080024373,0.019518572601728946,0.946176500456992,0.019165293821260417
83-84,pointcloud_0336.pcd,pointcloud_0332.pcd,0.9472290138549307,0.020335783964094786,0.9472290138549307,0.020335783964094786,0.9484515077424613,0.019461464959567697
84-85,pointcloud_0340.pcd,pointcloud_0336.pcd,0.9557809330628804,0.020205582819818445,0.9557809330628804,0.020205582819818445,0.9575050709939148,0.018515639105221245
85-86,pointcloud_0344.pcd,pointcloud_0340.pcd,0.9533367294956699,0.020026928065295758,0.9533367294956699,0.020026928065295758,0.9556800815078961,0.018447797435532768
86-87,pointcloud_0348.pcd,pointcloud_0344.pcd,0.9376576213053566,0.022341045151688183,0.9376576213053566,0.022341045151688183,0.9408857056390598,0.019059727007861446
87-88,pointcloud_0352.pcd,pointcloud_0348.pcd,0.9486661277283751,0.018922004865824415,0.9486661277283751,0.018922004865824415,0.9492724333063864,0.018857120858838054
88-89,pointcloud_0356.pcd,pointcloud_0352.pcd,0.953134510042605,0.020453682106169862,0.953134510042605,0.020453682106169862,0.9562791641306553,0.019347614693295365
89-90,pointcloud_0360.pcd,pointcloud_0356.pcd,0.9528350251204758,0.020392318742066744,0.9528350251204758,0.020392318742066744,0.9558084691889674,0.019194671519478745
90-91,pointcloud_0364.pcd,pointcloud_0360.pcd,0.9370857550729071,0.020904404511364157,0.9370857550729071,0.020904404511364157,0.9390231467319262,0.018684487556700217
91-92,pointcloud_0368.pcd,pointcloud_0364.pcd,0.9475769582444377,0.0201140353580147,0.9475769582444377,0.0201140353580147,0.9497104541298385,0.019583923894877807
92-93,pointcloud_0372.pcd,pointcloud_0368.pcd,0.958273381294964,0.02009728260478707,0.958273381294964,0.02009728260478707,0.9585817060637205,0.01891779985468992
93-94,pointcloud_0376.pcd,pointcloud_0372.pcd,0.9533313174075194,0.020320562004041316,0.9533313174075194,0.020320562004041316,0.9561536135470214,0.019661289330090308
94-95,pointcloud_0380.pcd,pointcloud_0376.pcd,0.931406124093473,0.022334678170448173,0.931406124093473,0.022334678170448173,0.9378525382755842,0.01977028817254178
95-96,pointcloud_0384.pcd,pointcloud_0380.pcd,0.9460285132382892,0.021936363140975378,0.9460285132382892,0.021936363140975374,0.9518329938900204,0.019274799783919327
96-97,pointcloud_0388.pcd,pointcloud_0384.pcd,0.9513980681240468,0.020439532879723447,0.9513980681240468,0.020439532879723443,0.951906456532791,0.019261189141431215
97-98,pointcloud_0392.pcd,pointcloud_0388.pcd,0.9570933550754178,0.019518425030333974,0.9570933550754178,0.019518425030333977,0.9581125152874032,0.018054365536059866
98-99,pointcloud_0396.pcd,pointcloud_0392.pcd,0.935989483264233,0.01970042495204258,0.935989483264233,0.01970042495204258,0.9378096875316008,0.018777232850568922
