pair,source,target,initial_fitness,initial_rmse,final_fitness,final_rmse,improvement_fitness,improvement_rmse
47-48,pointcloud_0192.pcd,pointcloud_0188.pcd,0.0002046245140167792,0.007939789717912408,0.0003069367710251688,0.0034755126673030987,0.00010231225700838958,0.004464277050609309
48-49,pointcloud_0196.pcd,pointcloud_0192.pcd,0.00010475591870940707,0.00479640931269326,0.00010475591870940707,0.0,0.0,0.00479640931269326
49-50,pointcloud_0200.pcd,pointcloud_0196.pcd,0.00010262725779967159,0.00954619505449524,0.00010262725779967159,0.0,0.0,0.00954619505449524
50-51,pointcloud_0204.pcd,pointcloud_0200.pcd,0.0002047711682195147,0.008814244051427592,0.0002047711682195147,0.00021989811294437445,0.0,0.008594345938483218
51-52,pointcloud_0208.pcd,pointcloud_0204.pcd,0.0,0.0,0.0,0.0,0.0,0.0
52-53,pointcloud_0212.pcd,pointcloud_0208.pcd,0.00010330578512396694,0.005547041783225606,0.00010330578512396694,0.0,0.0,0.005547041783225606
53-54,pointcloud_0216.pcd,pointcloud_0212.pcd,0.00041164968611711434,0.008483888218041217,0.0010291242152927857,0.006428337102330686,0.0006174745291756714,0.0020555511157105315
54-55,pointcloud_0220.pcd,pointcloud_0216.pcd,0.0,0.0,0.0,0.0,0.0,0.0
55-56,pointcloud_0224.pcd,pointcloud_0220.pcd,0.00010316723408645414,0.00667368026269143,0.00010316723408645414,0.0,0.0,0.00667368026269143
56-57,pointcloud_0228.pcd,pointcloud_0224.pcd,0.0002047711682195147,0.00593159425320523,0.000307156752329272,0.005084612382013613,0.00010238558410975731,0.0008469818711916172
57-58,pointcloud_0232.pcd,pointcloud_0228.pcd,0.0004109307581672488,0.008369778792687651,0.0006163961372508733,0.006270742002998989,0.00020546537908362446,0.002099036789688662
58-59,pointcloud_0236.pcd,pointcloud_0232.pcd,0.00010204081632653062,0.004605237100273332,0.0005102040816326531,0.005110000294619005,0.00040816326530612246,-0.0005047631943456733
59-60,pointcloud_0240.pcd,pointcloud_0236.pcd,0.0004052684903748733,0.00816100103318895,0.0007092198581560284,0.005116425583957474,0.0003039513677811551,0.003044575449231475
60-61,pointcloud_0244.pcd,pointcloud_0240.pcd,0.00020358306188925082,0.008864160178647471,0.001017915309446254,0.005467266506030989,0.0008143322475570033,0.0033968936726164823
61-62,pointcloud_0248.pcd,pointcloud_0244.pcd,0.0,0.0,0.0,0.0,0.0,0.0
62-63,pointcloud_0252.pcd,pointcloud_0248.pcd,0.0,0.0,0.0,0.0,0.0,0.0
63-64,pointcloud_0256.pcd,pointcloud_0252.pcd,0.00020364524997454434,0.008201984090293282,0.0004072904999490887,0.005196155613455659,0.00020364524997454434,0.0030058284768376235
64-65,pointcloud_0260.pcd,pointcloud_0256.pcd,0.0002030663011473246,0.00863410393042165,0.0007107320540156361,0.006463718898439272,0.0005076657528683116,0.002170385031982378
65-66,pointcloud_0264.pcd,pointcloud_0260.pcd,0.0,0.0,0.0,0.0,0.0,0.0
66-67,pointcloud_0268.pcd,pointcloud_0264.pcd,0.00020439448134900357,0.006688753918574406,0.0003065917220235054,0.0043721871995778885,0.00010219724067450181,0.0023165667189965176
67-68,pointcloud_0272.pcd,pointcloud_0268.pcd,0.00010313531353135314,0.008264624760058138,0.00020627062706270627,0.0006649911455790713,0.00010313531353135314,0.007599633614479066
68-69,pointcloud_0276.pcd,pointcloud_0272.pcd,0.00010289124395513942,0.005422832167341081,0.00010289124395513942,0.0,0.0,0.005422832167341081
69-70,pointcloud_0280.pcd,pointcloud_0276.pcd,0.00020412329046744235,0.004911767655514572,0.0004082465809348847,0.0036788955146653756,0.00020412329046744235,0.0012328721408491968
70-71,pointcloud_0284.pcd,pointcloud_0280.pcd,0.0003048780487804878,0.008658221784183294,0.0005081300813008131,0.00422103184368937,0.00020325203252032526,0.004437189940493923
71-72,pointcloud_0288.pcd,pointcloud_0284.pcd,0.00020540207456095307,0.006834934992856499,0.00020540207456095307,0.0031548407825459143,0.0,0.003680094210310585
72-73,pointcloud_0292.pcd,pointcloud_0288.pcd,0.00040737345961910584,0.00893589432437684,0.0005092168245238823,0.005616612547063116,0.00010184336490477643,0.0033192817773137233
73-74,pointcloud_0296.pcd,pointcloud_0292.pcd,0.0,0.0,0.0,0.0,0.0,0.0
74-75,pointcloud_0300.pcd,pointcloud_0296.pcd,0.00020475020475020476,0.008243432221143624,0.0003071253071253071,0.002568964181401987,0.00010237510237510235,0.005674468039741637
75-76,pointcloud_0304.pcd,pointcloud_0300.pcd,0.000608457560085184,0.008161615098403779,0.0005070479667376534,0.006477121122803198,-0.00010140959334753062,0.0016844939756005808
76-77,pointcloud_0308.pcd,pointcloud_0304.pcd,0.00010169836265636123,0.0063972498029192665,0.0003050950879690837,0.004131902895602789,0.00020339672531272248,0.0022653469073164777
